,날짜,영화제목,영화평점
2006,2022-03-25,하나-비,8.56
2007,2022-03-25,드라이브 마이 카,8.49
2008,2022-03-25,아비정전,8.46
2009,2022-03-25,광대: 소리꾼,8.42
2010,2022-03-25,어나더 라운드,8.29
2011,2022-03-25,이상한 나라의 수학자,8.27
2012,2022-03-25,엔칸토: 마법의 세계,8.26
2013,2022-03-25,신비한 동물사전,8.18
2014,2022-03-25,나이트메어 앨리,8.14
2015,2022-03-25,환상의 빛,8.00
2016,2022-03-25,원더풀 라이프,7.97
2017,2022-03-25,듄,7.96
2018,2022-03-25,뜨거운 피,7.71
2019,2022-03-25,파워 오브 도그,7.71
2020,2022-03-25,언차티드,7.64
2021,2022-03-25,스펜서,7.63
2022,2022-03-25,킹메이커,7.29
2023,2022-03-25,더 배트맨,7.22
2024,2022-03-25,안테벨룸,7.13
2025,2022-03-25,나의 촛불,6.11
2026,2022-03-25,해적: 도깨비 깃발,5.62
2027,2022-03-25,문폴,5.55
2028,2022-03-25,인민을 위해 복무하라,5.10
2029,2022-03-26,씽2게더,9.41
2030,2022-03-26,패왕별희 디 오리지널,9.31
2031,2022-03-26,극장판 주술회전 0,9.31
2032,2022-03-26,크루엘라,9.20
2033,2022-03-26,해피 투게더,9.19
2034,2022-03-26,키즈 리턴,8.94
2035,2022-03-26,아무도 모른다,8.88
2036,2022-03-26,스파이더맨: 노 웨이 홈,8.84
2037,2022-03-26,"틱, 틱... 붐!",8.83
2038,2022-03-26,화양연화,8.80
2039,2022-03-26,돈 룩 업,8.66
2040,2022-03-26,하나-비,8.56
2041,2022-03-26,드라이브 마이 카,8.48
2042,2022-03-26,아비정전,8.46
2043,2022-03-26,광대: 소리꾼,8.42
2044,2022-03-26,이상한 나라의 수학자,8.29
2045,2022-03-26,어나더 라운드,8.29
2046,2022-03-26,엔칸토: 마법의 세계,8.26
2047,2022-03-26,신비한 동물사전,8.18
2048,2022-03-26,나이트메어 앨리,8.14
2049,2022-03-26,환상의 빛,8.00
2050,2022-03-26,원더풀 라이프,7.97
2051,2022-03-26,듄,7.96
2052,2022-03-26,파워 오브 도그,7.71
2053,2022-03-26,스펜서,7.64
2054,2022-03-26,언차티드,7.64
2055,2022-03-26,뜨거운 피,7.60
2056,2022-03-26,킹메이커,7.28
2057,2022-03-26,더 배트맨,7.23
2058,2022-03-26,안테벨룸,7.12
2059,2022-03-26,해적: 도깨비 깃발,5.61
2060,2022-03-26,문폴,5.49
2061,2022-03-26,인민을 위해 복무하라,5.11
2062,2022-03-27,씽2게더,9.41
2063,2022-03-27,패왕별희 디 오리지널,9.31
2064,2022-03-27,극장판 주술회전 0,9.30
2065,2022-03-27,크루엘라,9.20
2066,2022-03-27,해피 투게더,9.19
2067,2022-03-27,키즈 리턴,8.94
2068,2022-03-27,아무도 모른다,8.88
2069,2022-03-27,"틱, 틱... 붐!",8.83
2070,2022-03-27,스파이더맨: 노 웨이 홈,8.83
2071,2022-03-27,화양연화,8.80
2072,2022-03-27,돈 룩 업,8.66
2073,2022-03-27,하나-비,8.56
2074,2022-03-27,드라이브 마이 카,8.48
2075,2022-03-27,아비정전,8.46
2076,2022-03-27,광대: 소리꾼,8.42
2077,2022-03-27,이상한 나라의 수학자,8.30
2078,2022-03-27,어나더 라운드,8.29
2079,2022-03-27,엔칸토: 마법의 세계,8.26
2080,2022-03-27,신비한 동물사전,8.18
2081,2022-03-27,나이트메어 앨리,8.13
2082,2022-03-27,환상의 빛,8.00
2083,2022-03-27,원더풀 라이프,7.97
2084,2022-03-27,듄,7.96
2085,2022-03-27,파워 오브 도그,7.68
2086,2022-03-27,스펜서,7.66
2087,2022-03-27,언차티드,7.64
2088,2022-03-27,뜨거운 피,7.57
2089,2022-03-27,킹메이커,7.28
2090,2022-03-27,더 배트맨,7.23
2091,2022-03-27,안테벨룸,7.12
2092,2022-03-27,해적: 도깨비 깃발,5.61
2093,2022-03-27,문폴,5.49
2094,2022-03-27,인민을 위해 복무하라,5.12
2095,2022-03-28,씽2게더,9.41
2096,2022-03-28,패왕별희 디 오리지널,9.31
2097,2022-03-28,극장판 주술회전 0,9.29
2098,2022-03-28,해피 투게더,9.19
2099,2022-03-28,코다,9.16
2100,2022-03-28,키즈 리턴,8.94
2101,2022-03-28,아무도 모른다,8.88
2102,2022-03-28,"틱, 틱... 붐!",8.83
2103,2022-03-28,스파이더맨: 노 웨이 홈,8.83
2104,2022-03-28,화양연화,8.80
2105,2022-03-28,돈 룩 업,8.66
2106,2022-03-28,하나-비,8.56
2107,2022-03-28,드라이브 마이 카,8.47
2108,2022-03-28,아비정전,8.46
2109,2022-03-28,광대: 소리꾼,8.42
2110,2022-03-28,이상한 나라의 수학자,8.30
2111,2022-03-28,어나더 라운드,8.29
2112,2022-03-28,엔칸토: 마법의 세계,8.26
2113,2022-03-28,신비한 동물사전,8.18
2114,2022-03-28,나이트메어 앨리,8.14
2115,2022-03-28,환상의 빛,8.00
2116,2022-03-28,원더풀 라이프,7.97
2117,2022-03-28,듄,7.96
2118,2022-03-28,스펜서,7.67
2119,2022-03-28,파워 오브 도그,7.66
2120,2022-03-28,언차티드,7.64
2121,2022-03-28,뜨거운 피,7.55
2122,2022-03-28,킹메이커,7.28
2123,2022-03-28,더 배트맨,7.23
2124,2022-03-28,안테벨룸,7.11
2125,2022-03-28,해적: 도깨비 깃발,5.60
2126,2022-03-28,문폴,5.47
2127,2022-03-28,인민을 위해 복무하라,5.11
2128,2022-03-29,씽2게더,9.41
2129,2022-03-29,패왕별희 디 오리지널,9.31
2130,2022-03-29,극장판 주술회전 0,9.28
2131,2022-03-29,해피 투게더,9.19
2132,2022-03-29,코다,9.16
2133,2022-03-29,키즈 리턴,8.94
2134,2022-03-29,아무도 모른다,8.88
2135,2022-03-29,"틱, 틱... 붐!",8.83
2136,2022-03-29,스파이더맨: 노 웨이 홈,8.83
2137,2022-03-29,화양연화,8.80
2138,2022-03-29,돈 룩 업,8.66
2139,2022-03-29,하나-비,8.56
2140,2022-03-29,드라이브 마이 카,8.47
2141,2022-03-29,아비정전,8.45
2142,2022-03-29,광대: 소리꾼,8.42
2143,2022-03-29,이상한 나라의 수학자,8.31
2144,2022-03-29,어나더 라운드,8.29
2145,2022-03-29,엔칸토: 마법의 세계,8.26
2146,2022-03-29,신비한 동물사전,8.18
2147,2022-03-29,나이트메어 앨리,8.14
2148,2022-03-29,환상의 빛,8.00
2149,2022-03-29,원더풀 라이프,7.97
2150,2022-03-29,듄,7.96
2151,2022-03-29,스펜서,7.68
2152,2022-03-29,파워 오브 도그,7.66
2153,2022-03-29,언차티드,7.63
2154,2022-03-29,뜨거운 피,7.55
2155,2022-03-29,킹메이커,7.28
2156,2022-03-29,더 배트맨,7.23
2157,2022-03-29,안테벨룸,7.12
2158,2022-03-29,해적: 도깨비 깃발,5.60
2159,2022-03-29,문폴,5.47
2160,2022-03-29,인민을 위해 복무하라,5.11
2161,2022-03-30,씽2게더,9.41
2162,2022-03-30,패왕별희 디 오리지널,9.31
2163,2022-03-30,극장판 주술회전 0,9.28
2164,2022-03-30,해피 투게더,9.19
2165,2022-03-30,코다,9.16
2166,2022-03-30,키즈 리턴,8.94
2167,2022-03-30,아무도 모른다,8.88
2168,2022-03-30,스파이더맨: 노 웨이 홈,8.83
2169,2022-03-30,너의 이름은.,8.80
2170,2022-03-30,화양연화,8.80
2171,2022-03-30,하나-비,8.56
2172,2022-03-30,드라이브 마이 카,8.46
2173,2022-03-30,아비정전,8.45
2174,2022-03-30,초속5센티미터,8.36
2175,2022-03-30,이상한 나라의 수학자,8.31
2176,2022-03-30,어나더 라운드,8.30
2177,2022-03-30,나이트메어 앨리,8.14
2178,2022-03-30,환상의 빛,8.00
2179,2022-03-30,원더풀 라이프,7.97
2180,2022-03-30,듄,7.96
2181,2022-03-30,모비우스,7.73
2182,2022-03-30,스펜서,7.70
2183,2022-03-30,파워 오브 도그,7.67
2184,2022-03-30,언차티드,7.63
2185,2022-03-30,뜨거운 피,7.53
2186,2022-03-30,킹메이커,7.28
2187,2022-03-30,더 배트맨,7.24
2188,2022-03-30,해적: 도깨비 깃발,5.60
2189,2022-03-30,문폴,5.45
2190,2022-03-30,인민을 위해 복무하라,5.11
2191,2022-03-31,씽2게더,9.41
2192,2022-03-31,패왕별희 디 오리지널,9.31
2193,2022-03-31,극장판 주술회전 0,9.28
2194,2022-03-31,해피 투게더,9.19
2195,2022-03-31,코다,9.16
2196,2022-03-31,키즈 리턴,8.94
2197,2022-03-31,아무도 모른다,8.88
2198,2022-03-31,스파이더맨: 노 웨이 홈,8.83
2199,2022-03-31,너의 이름은.,8.80
2200,2022-03-31,화양연화,8.80
2201,2022-03-31,하나-비,8.56
2202,2022-03-31,목소리의 형태,8.48
2203,2022-03-31,아비정전,8.45
2204,2022-03-31,드라이브 마이 카,8.45
2205,2022-03-31,초속5센티미터,8.36
2206,2022-03-31,이상한 나라의 수학자,8.32
2207,2022-03-31,나이트메어 앨리,8.14
2208,2022-03-31,환상의 빛,8.00
2209,2022-03-31,원더풀 라이프,7.97
2210,2022-03-31,듄,7.95
2211,2022-03-31,모비우스,7.73
2212,2022-03-31,스펜서,7.71
2213,2022-03-31,파워 오브 도그,7.66
2214,2022-03-31,언차티드,7.63
2215,2022-03-31,뜨거운 피,7.53
2216,2022-03-31,킹메이커,7.28
2217,2022-03-31,더 배트맨,7.25
2218,2022-03-31,해적: 도깨비 깃발,5.60
2219,2022-03-31,문폴,5.43
2220,2022-03-31,인민을 위해 복무하라,5.11
2221,2022-04-01,씽2게더,9.41
2222,2022-04-01,패왕별희 디 오리지널,9.31
2223,2022-04-01,극장판 주술회전 0,9.27
2224,2022-04-01,해피 투게더,9.19
2225,2022-04-01,코다,9.16
2226,2022-04-01,키즈 리턴,8.94
2227,2022-04-01,아무도 모른다,8.88
2228,2022-04-01,스파이더맨: 노 웨이 홈,8.83
2229,2022-04-01,너의 이름은.,8.80
2230,2022-04-01,화양연화,8.80
2231,2022-04-01,하나-비,8.56
2232,2022-04-01,목소리의 형태,8.48
2233,2022-04-01,아비정전,8.45
2234,2022-04-01,드라이브 마이 카,8.44
2235,2022-04-01,초속5센티미터,8.36
2236,2022-04-01,이상한 나라의 수학자,8.32
2237,2022-04-01,나이트메어 앨리,8.13
2238,2022-04-01,환상의 빛,8.00
2239,2022-04-01,원더풀 라이프,7.97
2240,2022-04-01,듄,7.96
2241,2022-04-01,스펜서,7.72
2242,2022-04-01,파워 오브 도그,7.68
2243,2022-04-01,언차티드,7.63
2244,2022-04-01,뜨거운 피,7.52
2245,2022-04-01,모비우스,7.52
2246,2022-04-01,킹메이커,7.28
2247,2022-04-01,더 배트맨,7.25
2248,2022-04-01,해적: 도깨비 깃발,5.60
2249,2022-04-01,문폴,5.41
2250,2022-04-01,인민을 위해 복무하라,5.11
2251,2022-04-02,씽2게더,9.41
2252,2022-04-02,패왕별희 디 오리지널,9.31
2253,2022-04-02,극장판 주술회전 0,9.27
2254,2022-04-02,해피 투게더,9.19
2255,2022-04-02,코다,9.15
2256,2022-04-02,키즈 리턴,8.94
2257,2022-04-02,아무도 모른다,8.88
2258,2022-04-02,스파이더맨: 노 웨이 홈,8.83
2259,2022-04-02,화양연화,8.80
2260,2022-04-02,너의 이름은.,8.80
2261,2022-04-02,하나-비,8.56
2262,2022-04-02,목소리의 형태,8.48
2263,2022-04-02,아비정전,8.46
2264,2022-04-02,드라이브 마이 카,8.44
2265,2022-04-02,초속5센티미터,8.36
2266,2022-04-02,이상한 나라의 수학자,8.33
2267,2022-04-02,나이트메어 앨리,8.13
2268,2022-04-02,환상의 빛,8.00
2269,2022-04-02,원더풀 라이프,7.97
2270,2022-04-02,듄,7.96
2271,2022-04-02,스펜서,7.73
2272,2022-04-02,파워 오브 도그,7.67
2273,2022-04-02,언차티드,7.63
2274,2022-04-02,뜨거운 피,7.51
2275,2022-04-02,모비우스,7.41
2276,2022-04-02,킹메이커,7.28
2277,2022-04-02,더 배트맨,7.25
2278,2022-04-02,해적: 도깨비 깃발,5.59
2279,2022-04-02,문폴,5.36
2280,2022-04-02,인민을 위해 복무하라,5.12
2281,2022-04-03,씽2게더,9.41
2282,2022-04-03,패왕별희 디 오리지널,9.31
2283,2022-04-03,극장판 주술회전 0,9.27
2284,2022-04-03,해피 투게더,9.18
2285,2022-04-03,코다,9.15
2286,2022-04-03,키즈 리턴,8.95
2287,2022-04-03,아무도 모른다,8.88
2288,2022-04-03,스파이더맨: 노 웨이 홈,8.83
2289,2022-04-03,화양연화,8.80
2290,2022-04-03,너의 이름은.,8.80
2291,2022-04-03,하나-비,8.56
2292,2022-04-03,목소리의 형태,8.48
2293,2022-04-03,아비정전,8.46
2294,2022-04-03,드라이브 마이 카,8.44
2295,2022-04-03,초속5센티미터,8.36
2296,2022-04-03,이상한 나라의 수학자,8.34
2297,2022-04-03,나이트메어 앨리,8.11
2298,2022-04-03,환상의 빛,8.00
2299,2022-04-03,원더풀 라이프,7.98
2300,2022-04-03,듄,7.96
2301,2022-04-03,스펜서,7.74
2302,2022-04-03,파워 오브 도그,7.65
2303,2022-04-03,언차티드,7.63
2304,2022-04-03,뜨거운 피,7.51
2305,2022-04-03,모비우스,7.33
2306,2022-04-03,킹메이커,7.28
2307,2022-04-03,더 배트맨,7.25
2308,2022-04-03,해적: 도깨비 깃발,5.59
2309,2022-04-03,문폴,5.33
2310,2022-04-03,인민을 위해 복무하라,5.12
2311,2022-04-04,씽2게더,9.41
2312,2022-04-04,패왕별희 디 오리지널,9.31
2313,2022-04-04,극장판 주술회전 0,9.26
2314,2022-04-04,해피 투게더,9.18
2315,2022-04-04,코다,9.15
2316,2022-04-04,키즈 리턴,8.95
2317,2022-04-04,아무도 모른다,8.88
2318,2022-04-04,스파이더맨: 노 웨이 홈,8.83
2319,2022-04-04,화양연화,8.80
2320,2022-04-04,너의 이름은.,8.80
2321,2022-04-04,하나-비,8.56
2322,2022-04-04,목소리의 형태,8.48
2323,2022-04-04,아비정전,8.45
2324,2022-04-04,드라이브 마이 카,8.43
2325,2022-04-04,초속5센티미터,8.36
2326,2022-04-04,이상한 나라의 수학자,8.34
2327,2022-04-04,어나더 라운드,8.29
2328,2022-04-04,나이트메어 앨리,8.11
2329,2022-04-04,환상의 빛,8.00
2330,2022-04-04,원더풀 라이프,7.98
2331,2022-04-04,듄,7.96
2332,2022-04-04,스펜서,7.73
2333,2022-04-04,파워 오브 도그,7.66
2334,2022-04-04,언차티드,7.63
2335,2022-04-04,뜨거운 피,7.50
2336,2022-04-04,모비우스,7.32
2337,2022-04-04,킹메이커,7.28
2338,2022-04-04,더 배트맨,7.25
2339,2022-04-04,해적: 도깨비 깃발,5.59
2340,2022-04-04,문폴,5.30
2341,2022-04-05,씽2게더,9.41
2342,2022-04-05,패왕별희 디 오리지널,9.31
2343,2022-04-05,극장판 주술회전 0,9.25
2344,2022-04-05,해피 투게더,9.18
2345,2022-04-05,코다,9.15
2346,2022-04-05,키즈 리턴,8.95
2347,2022-04-05,아무도 모른다,8.88
2348,2022-04-05,스파이더맨: 노 웨이 홈,8.82
2349,2022-04-05,화양연화,8.80
2350,2022-04-05,너의 이름은.,8.80
2351,2022-04-05,하나-비,8.56
2352,2022-04-05,목소리의 형태,8.48
2353,2022-04-05,아비정전,8.45
2354,2022-04-05,드라이브 마이 카,8.44
2355,2022-04-05,초속5센티미터,8.36
2356,2022-04-05,이상한 나라의 수학자,8.34
2357,2022-04-05,어나더 라운드,8.30
2358,2022-04-05,나이트메어 앨리,8.13
2359,2022-04-05,환상의 빛,8.00
2360,2022-04-05,듄,7.95
2361,2022-04-05,스펜서,7.72
2362,2022-04-05,파워 오브 도그,7.65
2363,2022-04-05,언차티드,7.63
2364,2022-04-05,뜨거운 피,7.49
2365,2022-04-05,모비우스,7.33
2366,2022-04-05,킹메이커,7.28
2367,2022-04-05,더 배트맨,7.26
2368,2022-04-05,해적: 도깨비 깃발,5.59
2369,2022-04-05,문폴,5.29
2370,2022-04-05,배니싱: 미제사건,4.45
2371,2022-04-06,씽2게더,9.41
2372,2022-04-06,패왕별희 디 오리지널,9.31
2373,2022-04-06,극장판 주술회전 0,9.26
2374,2022-04-06,해피 투게더,9.18
2375,2022-04-06,코다,9.15
2376,2022-04-06,아무도 모른다,8.88
2377,2022-04-06,스파이더맨: 노 웨이 홈,8.82
2378,2022-04-06,화양연화,8.80
2379,2022-04-06,너의 이름은.,8.80
2380,2022-04-06,하나-비,8.56
2381,2022-04-06,목소리의 형태,8.48
2382,2022-04-06,태일이,8.45
2383,2022-04-06,아비정전,8.45
2384,2022-04-06,드라이브 마이 카,8.44
2385,2022-04-06,초속5센티미터,8.36
2386,2022-04-06,이상한 나라의 수학자,8.33
2387,2022-04-06,어나더 라운드,8.30
2388,2022-04-06,나이트메어 앨리,8.13
2389,2022-04-06,듄,7.95
2390,2022-04-06,스펜서,7.73
2391,2022-04-06,파워 오브 도그,7.65
2392,2022-04-06,언차티드,7.63
2393,2022-04-06,뜨거운 피,7.49
2394,2022-04-06,모비우스,7.31
2395,2022-04-06,킹메이커,7.28
2396,2022-04-06,더 배트맨,7.26
2397,2022-04-06,문폴,5.27
2398,2022-04-06,배니싱: 미제사건,4.43
2399,2022-04-07,씽2게더,9.40
2400,2022-04-07,패왕별희 디 오리지널,9.31
2401,2022-04-07,극장판 주술회전 0,9.26
2402,2022-04-07,해피 투게더,9.18
2403,2022-04-07,코다,9.15
2404,2022-04-07,아무도 모른다,8.87
2405,2022-04-07,스파이더맨: 노 웨이 홈,8.82
2406,2022-04-07,화양연화,8.80
2407,2022-04-07,너의 이름은.,8.80
2408,2022-04-07,하나-비,8.56
2409,2022-04-07,목소리의 형태,8.48
2410,2022-04-07,아비정전,8.45
2411,2022-04-07,드라이브 마이 카,8.44
2412,2022-04-07,광대: 소리꾼,8.43
2413,2022-04-07,초속5센티미터,8.36
2414,2022-04-07,이상한 나라의 수학자,8.33
2415,2022-04-07,어나더 라운드,8.30
2416,2022-04-07,나이트메어 앨리,8.12
2417,2022-04-07,날씨의 아이,7.96
2418,2022-04-07,듄,7.96
2419,2022-04-07,스펜서,7.73
2420,2022-04-07,파워 오브 도그,7.65
2421,2022-04-07,언차티드,7.63
2422,2022-04-07,뜨거운 피,7.48
2423,2022-04-07,모비우스,7.30
2424,2022-04-07,킹메이커,7.28
2425,2022-04-07,더 배트맨,7.26
2426,2022-04-07,문폴,5.26
2427,2022-04-07,배니싱: 미제사건,4.42
2428,2022-04-08,씽2게더,9.40
2429,2022-04-08,패왕별희 디 오리지널,9.31
2430,2022-04-08,극장판 주술회전 0,9.25
2431,2022-04-08,해피 투게더,9.18
2432,2022-04-08,코다,9.14
2433,2022-04-08,키즈 리턴,8.95
2434,2022-04-08,스파이더맨: 노 웨이 홈,8.82
2435,2022-04-08,화양연화,8.80
2436,2022-04-08,너의 이름은.,8.80
2437,2022-04-08,목소리의 형태,8.48
2438,2022-04-08,아비정전,8.45
2439,2022-04-08,드라이브 마이 카,8.44
2440,2022-04-08,초속5센티미터,8.36
2441,2022-04-08,이상한 나라의 수학자,8.33
2442,2022-04-08,어나더 라운드,8.30
2443,2022-04-08,나이트메어 앨리,8.13
2444,2022-04-08,날씨의 아이,7.96
2445,2022-04-08,듄,7.96
2446,2022-04-08,스펜서,7.73
2447,2022-04-08,파워 오브 도그,7.64
2448,2022-04-08,스텔라,7.64
2449,2022-04-08,언차티드,7.63
2450,2022-04-08,뜨거운 피,7.47
2451,2022-04-08,모비우스,7.29
2452,2022-04-08,킹메이커,7.28
2453,2022-04-08,더 배트맨,7.26
2454,2022-04-08,문폴,5.24
2455,2022-04-08,배니싱: 미제사건,4.40
2456,2022-04-09,씽2게더,9.40
2457,2022-04-09,패왕별희 디 오리지널,9.31
2458,2022-04-09,극장판 주술회전 0,9.26
2459,2022-04-09,해피 투게더,9.18
2460,2022-04-09,코다,9.14
2461,2022-04-09,키즈 리턴,8.95
2462,2022-04-09,스파이더맨: 노 웨이 홈,8.82
2463,2022-04-09,너의 이름은.,8.80
2464,2022-04-09,화양연화,8.80
2465,2022-04-09,목소리의 형태,8.48
2466,2022-04-09,아비정전,8.45
2467,2022-04-09,드라이브 마이 카,8.44
2468,2022-04-09,초속5센티미터,8.36
2469,2022-04-09,이상한 나라의 수학자,8.34
2470,2022-04-09,어나더 라운드,8.30
2471,2022-04-09,나이트메어 앨리,8.13
2472,2022-04-09,날씨의 아이,7.96
2473,2022-04-09,듄,7.96
2474,2022-04-09,스펜서,7.73
2475,2022-04-09,파워 오브 도그,7.64
2476,2022-04-09,언차티드,7.63
2477,2022-04-09,뜨거운 피,7.46
2478,2022-04-09,앰뷸런스,7.33
2479,2022-04-09,킹메이커,7.28
2480,2022-04-09,모비우스,7.27
2481,2022-04-09,스텔라,7.26
2482,2022-04-09,더 배트맨,7.26
2483,2022-04-09,문폴,5.22
2484,2022-04-09,배니싱: 미제사건,4.33
2485,2022-04-10,씽2게더,9.40
2486,2022-04-10,패왕별희 디 오리지널,9.31
2487,2022-04-10,극장판 주술회전 0,9.26
2488,2022-04-10,해피 투게더,9.18
2489,2022-04-10,코다,9.14
2490,2022-04-10,키즈 리턴,8.95
2491,2022-04-10,스파이더맨: 노 웨이 홈,8.82
2492,2022-04-10,화양연화,8.80
2493,2022-04-10,너의 이름은.,8.80
2494,2022-04-10,목소리의 형태,8.48
2495,2022-04-10,아비정전,8.45
2496,2022-04-10,드라이브 마이 카,8.44
2497,2022-04-10,초속5센티미터,8.36
2498,2022-04-10,이상한 나라의 수학자,8.34
2499,2022-04-10,어나더 라운드,8.30
2500,2022-04-10,나이트메어 앨리,8.12
2501,2022-04-10,날씨의 아이,7.96
2502,2022-04-10,듄,7.95
2503,2022-04-10,스펜서,7.73
2504,2022-04-10,파워 오브 도그,7.64
2505,2022-04-10,언차티드,7.63
2506,2022-04-10,뜨거운 피,7.45
2507,2022-04-10,킹메이커,7.28
2508,2022-04-10,더 배트맨,7.26
2509,2022-04-10,모비우스,7.24
2510,2022-04-10,앰뷸런스,7.19
2511,2022-04-10,스텔라,6.76
2512,2022-04-10,문폴,5.22
2513,2022-04-10,배니싱: 미제사건,4.33
